goal_keeper,first_team,second_team
Andres Fernandez,7878,8371
Andres Fernandez,7878,9773
Javi Varas,8306,9910
Asier Riesgo,8372,8479
Marc-Andre ter Stegen,8634,9788
Yoel Rodriguez,8370,9910
Jesus Fernandez,7878,8581
Jesus Fernandez,7878,8633
Lukasz Skorupski,8534,8686
Antonio Mirante,9857,9882
Antonio Mirante,9857,10167
Wojciech Szczesny,8686,9825
Angelo da Costa,9857,9882
Davide Bassi,8524,8534
